#Data from case M models
#Possible outcomes are contained in the 'result' column and are:
#    -ZAMS_L2_overflow: Contact at ZAMS would be deep enough to reach L2. Should merge.
#    -L2_overflow: Stars undergo deep contact reaching L2. Should merge.
#    -off_CHE: Rotational mixing is not efficient enough and one component evolves not chemichally homogeneous.
#    -PISN: One star in the system depletes helium inside the PISN range (60-130 Msun).
#    -double_BH: System should form double BHs (both stars deplete helium outside 60-130 Msun PISN range).
#    -convergence_error: Run did not complete due to convergence issues.
#    -missing_data: For misterious reasons the data for this model is missing/incomplete.
#The column had_contact specifies whether the system had a contact phase, it can have 3 values:
#    -0: No contact.
#    -1: Reached contact during the main sequence.
#    -2: System already at contact during ZAMS.
#Merge times and kerr parameters are provided assuming direct collapse. Even when a PISN is expected,
#these numbers are given due to possible uncertainties in the range for occurrence of PISN.
   log10(M_1i)(Msun)   qratio(M_2i/M_1i)           P_i(days)         metallicity              result         had_contact          M_1f(Msun)          M_2f(Msun)           P_f(days)     merge_time(Gyr)        Kerr_param_1        Kerr_param_2      he_core_mass_1       c_core_mass_1     total_mass_h1_1    total_mass_he4_1      he_core_mass_2       c_core_mass_2     total_mass_h1_2    total_mass_he4_2
               1.975               1.000               1.275        3.162278e-03           double_BH                   2        2.919151e+01        2.919151e+01        1.135266e+01        1.400375e+02        2.015717e-01        2.015717e-01        2.919155e+01        2.490182e+01        5.279330e-32        5.198469e-01        2.919151e+01        2.490182e+01        9.324611e-42        5.198313e-01
               2.000               1.000               1.275        3.162278e-03           double_BH                   2        2.979361e+01        2.979361e+01        1.212771e+01        1.614173e+02        1.893545e-01        1.893545e-01        2.979366e+01        2.546700e+01        1.521447e-40        5.124314e-01        2.979361e+01        2.546700e+01        1.939892e-41        5.124154e-01
               2.025               1.000               1.275        3.162278e-03           double_BH                   2        3.039496e+01        3.039496e+01        1.296940e+01        1.867220e+02        1.781694e-01        1.781694e-01        3.039500e+01        2.601015e+01        2.823839e-69        5.055514e-01        3.039496e+01        2.601015e+01        1.973169e-46        5.055355e-01
               2.050               1.000               1.275        3.162278e-03           double_BH                   2        3.097551e+01        3.097551e+01        1.387175e+01        2.164700e+02        1.673721e-01        1.673721e-01        3.097556e+01        2.654967e+01        1.212527e-67        4.992174e-01        3.097551e+01        2.654967e+01        1.956605e-41        4.992014e-01
               2.075               1.000               1.275        3.162278e-03         L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.100               1.000               1.275        3.162278e-03         L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.125               1.000               1.275        3.162278e-03         L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.150               1.000               1.275        3.162278e-03         L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.175               1.000               1.275        3.162278e-03    ZAMS_L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.200               1.000               1.275        3.162278e-03    ZAMS_L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.225               1.000               1.275        3.162278e-03    ZAMS_L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.250               1.000               1.275        3.162278e-03    ZAMS_L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.275               1.000               1.275        3.162278e-03    ZAMS_L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.300               1.000               1.275        3.162278e-03    ZAMS_L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.325               1.000               1.275        3.162278e-03    ZAMS_L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.350               1.000               1.275        3.162278e-03    ZAMS_L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.375               1.000               1.275        3.162278e-03    ZAMS_L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.400               1.000               1.275        3.162278e-03    ZAMS_L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.425               1.000               1.275        3.162278e-03    ZAMS_L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.450               1.000               1.275        3.162278e-03    ZAMS_L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.475               1.000               1.275        3.162278e-03    ZAMS_L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.500               1.000               1.275        3.162278e-03    ZAMS_L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.525               1.000               1.275        3.162278e-03    ZAMS_L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.550               1.000               1.275        3.162278e-03    ZAMS_L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.575               1.000               1.275        3.162278e-03    ZAMS_L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.600               1.000               1.275        3.162278e-03    ZAMS_L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.625               1.000               1.275        3.162278e-03    ZAMS_L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.650               1.000               1.275        3.162278e-03    ZAMS_L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.675               1.000               1.275        3.162278e-03    ZAMS_L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.700               1.000               1.275        3.162278e-03    ZAMS_L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               1.400               1.000               1.300        3.162278e-03             off_CHE                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               1.425               1.000               1.300        3.162278e-03             off_CHE                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               1.450               1.000               1.300        3.162278e-03             off_CHE                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               1.475               1.000               1.300        3.162278e-03             off_CHE                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               1.500               1.000               1.300        3.162278e-03             off_CHE                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               1.525               1.000               1.300        3.162278e-03             off_CHE                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               1.550               1.000               1.300        3.162278e-03             off_CHE                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               1.575               1.000               1.300        3.162278e-03             off_CHE                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               1.600               1.000               1.300        3.162278e-03             off_CHE                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               1.625               1.000               1.300        3.162278e-03             off_CHE                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               1.650               1.000               1.300        3.162278e-03             off_CHE                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               1.675               1.000               1.300        3.162278e-03             off_CHE                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               1.700               1.000               1.300        3.162278e-03             off_CHE                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               1.725               1.000               1.300        3.162278e-03           double_BH                   1        2.418703e+01        2.418703e+01        5.704786e+00        3.057824e+01        2.993270e-01        2.993270e-01        2.418706e+01        2.028609e+01        2.445194e-41        6.269763e-01        2.418703e+01        2.028609e+01        1.989699e-53        6.269612e-01
               1.750               1.000               1.300        3.162278e-03           double_BH                   1        2.478941e+01        2.478941e+01        6.069820e+00        3.462876e+01        2.901331e-01        2.901331e-01        2.478945e+01        2.084453e+01        6.334955e-50        6.084574e-01        2.478941e+01        2.084453e+01        5.010595e-53        6.084423e-01
               1.775               1.000               1.300        3.162278e-03           double_BH                   1        2.491226e+01        2.491226e+01        6.709398e+00        4.486210e+01        2.994973e-01        2.994973e-01        2.491229e+01        2.095383e+01        6.062473e-53        6.008232e-01        2.491226e+01        2.095383e+01        3.990073e-39        6.008081e-01
               1.800               1.000               1.300        3.162278e-03           double_BH                   1        2.527274e+01        2.527274e+01        7.272123e+00        5.429434e+01        2.995257e-01        2.995257e-01        2.527277e+01        2.128498e+01        1.850945e-41        5.884867e-01        2.527274e+01        2.128498e+01        4.165760e-51        5.884716e-01
               1.825               1.000               1.300        3.162278e-03           double_BH                   2        2.578066e+01        2.578066e+01        7.795687e+00        6.322177e+01        2.865497e-01        2.865497e-01        2.578070e+01        2.175804e+01        5.233280e-45        5.766703e-01        2.578066e+01        2.175804e+01        1.094171e-44        5.766551e-01
               1.850               1.000               1.300        3.162278e-03           double_BH                   2        2.629577e+01        2.629577e+01        8.357174e+00        7.363665e+01        2.709274e-01        2.709274e-01        2.629580e+01        2.223516e+01        8.584197e-42        5.663167e-01        2.629577e+01        2.223516e+01        2.130893e-41        5.663015e-01
               1.875               1.000               1.300        3.162278e-03           double_BH                   2        2.689794e+01        2.689794e+01        8.905225e+00        8.399754e+01        2.562821e-01        2.562821e-01        2.689798e+01        2.279237e+01        1.441750e-46        5.548108e-01        2.689794e+01        2.279237e+01        9.341895e-48        5.547956e-01
               1.900               1.000               1.300        3.162278e-03           double_BH                   2        2.751148e+01        2.751148e+01        9.484942e+00        9.571526e+01        2.414055e-01        2.414055e-01        2.751152e+01        2.334946e+01        1.920384e-41        5.442203e-01        2.751148e+01        2.334946e+01        8.040183e-45        5.442051e-01
               1.925               1.000               1.300        3.162278e-03           double_BH                   2        2.811553e+01        2.811553e+01        1.012148e+01        1.097705e+02        2.262099e-01        2.262099e-01        2.811558e+01        2.390638e+01        3.608470e-32        5.349040e-01        2.811553e+01        2.390638e+01        2.473583e-38        5.348884e-01
               1.950               1.000               1.300        3.162278e-03           double_BH                   2        2.873083e+01        2.873083e+01        1.080005e+01        1.258831e+02        2.121698e-01        2.121698e-01        2.873088e+01        2.448004e+01        3.731380e-39        5.259382e-01        2.873083e+01        2.448004e+01        3.995420e-33        5.259226e-01
               1.975               1.000               1.300        3.162278e-03           double_BH                   2        2.933034e+01        2.933034e+01        1.154389e+01        1.452634e+02        1.992412e-01        1.992412e-01        2.933038e+01        2.503542e+01        1.057957e-97        5.182437e-01        2.933034e+01        2.503542e+01        3.426763e-41        5.182280e-01
               2.000               1.000               1.300        3.162278e-03           double_BH                   2        2.993946e+01        2.993946e+01        1.233473e+01        1.675011e+02        1.869432e-01        1.869432e-01        2.993951e+01        2.558847e+01        1.463850e-46        5.109290e-01        2.993946e+01        2.558847e+01        2.049434e-45        5.109131e-01
               2.025               1.000               1.300        3.162278e-03           double_BH                   2        3.054331e+01        3.054331e+01        1.319747e+01        1.940260e+02        1.751844e-01        1.751844e-01        3.054336e+01        2.616047e+01        1.246367e-44        5.039958e-01        3.054331e+01        2.616047e+01        3.145586e-49        5.039798e-01
               2.050               1.000               1.300        3.162278e-03           double_BH                   2        3.113048e+01        3.113048e+01        1.412766e+01        2.254012e+02        1.648577e-01        1.648577e-01        3.113053e+01        2.668632e+01        1.051072e-52        4.978082e-01        3.113048e+01        2.668632e+01        2.619571e-45        4.977922e-01
               2.075               1.000               1.300        3.162278e-03         L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.100               1.000               1.300        3.162278e-03         L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.125               1.000               1.300        3.162278e-03         L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.150               1.000               1.300        3.162278e-03         L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.175               1.000               1.300        3.162278e-03         L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.200               1.000               1.300        3.162278e-03    ZAMS_L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.225               1.000               1.300        3.162278e-03    ZAMS_L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.250               1.000               1.300        3.162278e-03    ZAMS_L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.275               1.000               1.300        3.162278e-03    ZAMS_L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.300               1.000               1.300        3.162278e-03    ZAMS_L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.325               1.000               1.300        3.162278e-03    ZAMS_L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.350               1.000               1.300        3.162278e-03    ZAMS_L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.375               1.000               1.300        3.162278e-03    ZAMS_L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.400               1.000               1.300        3.162278e-03    ZAMS_L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.425               1.000               1.300        3.162278e-03    ZAMS_L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.450               1.000               1.300        3.162278e-03    ZAMS_L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.475               1.000               1.300        3.162278e-03    ZAMS_L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.500               1.000               1.300        3.162278e-03    ZAMS_L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.525               1.000               1.300        3.162278e-03    ZAMS_L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.550               1.000               1.300        3.162278e-03    ZAMS_L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.575               1.000               1.300        3.162278e-03    ZAMS_L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.600               1.000               1.300        3.162278e-03    ZAMS_L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.625               1.000               1.300        3.162278e-03    ZAMS_L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.650               1.000               1.300        3.162278e-03    ZAMS_L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.675               1.000               1.300        3.162278e-03    ZAMS_L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.700               1.000               1.300        3.162278e-03    ZAMS_L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               1.400               1.000               1.325        3.162278e-03             off_CHE                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               1.425               1.000               1.325        3.162278e-03             off_CHE                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               1.450               1.000               1.325        3.162278e-03             off_CHE                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               1.475               1.000               1.325        3.162278e-03             off_CHE                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               1.500               1.000               1.325        3.162278e-03             off_CHE                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               1.525               1.000               1.325        3.162278e-03             off_CHE                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               1.550               1.000               1.325        3.162278e-03             off_CHE                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               1.575               1.000               1.325        3.162278e-03             off_CHE                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               1.600               1.000               1.325        3.162278e-03             off_CHE                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               1.625               1.000               1.325        3.162278e-03             off_CHE                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               1.650               1.000               1.325        3.162278e-03             off_CHE                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               1.675               1.000               1.325        3.162278e-03             off_CHE                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               1.700               1.000               1.325        3.162278e-03             off_CHE                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               1.725               1.000               1.325        3.162278e-03           double_BH                   1        2.427376e+01        2.427376e+01        5.793477e+00        3.167292e+01        2.948316e-01        2.948316e-01        2.427379e+01        2.036676e+01        1.091004e-55        6.251999e-01        2.427376e+01        2.036676e+01        3.222342e-50        6.251848e-01
               1.750               1.000               1.325        3.162278e-03           double_BH                   1        2.491998e+01        2.491998e+01        6.140345e+00        3.540081e+01        2.847250e-01        2.847250e-01        2.492001e+01        2.096311e+01        1.850244e-41        6.057299e-01        2.491998e+01        2.096311e+01        1.666615e-51        6.057148e-01
               1.775               1.000               1.325        3.162278e-03           double_BH                   1        2.527190e+01        2.527190e+01        6.673289e+00        4.317726e+01        2.803191e-01        2.803191e-01        2.527194e+01        2.129139e+01        1.404345e-49        5.950588e-01        2.527190e+01        2.129139e+01        2.368728e-32        5.950437e-01
               1.800               1.000               1.325        3.162278e-03           double_BH                   1        2.544974e+01        2.544974e+01        7.342237e+00        5.505735e+01        2.915824e-01        2.915824e-01        2.544978e+01        2.144551e+01        1.028041e-39        5.852495e-01        2.544974e+01        2.144551e+01        4.275204e-53        5.852344e-01
               1.825               1.000               1.325        3.162278e-03           double_BH                   1        2.590985e+01        2.590985e+01        7.903441e+00        6.503497e+01        2.812336e-01        2.812336e-01        2.590988e+01        2.187661e+01        1.050045e-49        5.741255e-01        2.590985e+01        2.187661e+01        1.693191e-47        5.741103e-01
               1.850               1.000               1.325        3.162278e-03           double_BH                   2        2.644296e+01        2.644296e+01        8.465143e+00        7.549528e+01        2.665520e-01        2.665520e-01        2.644300e+01        2.237564e+01        6.532958e-40        5.636115e-01        2.644296e+01        2.237564e+01        1.987376e-45        5.635962e-01
               1.875               1.000               1.325        3.162278e-03           double_BH                   2        2.703392e+01        2.703392e+01        9.032686e+00        8.651178e+01        2.523647e-01        2.523647e-01        2.703396e+01        2.291178e+01        5.982360e-40        5.524610e-01        2.703392e+01        2.291178e+01        7.563760e-49        5.524458e-01
               1.900               1.000               1.325        3.162278e-03           double_BH                   2        2.762499e+01        2.762499e+01        9.641134e+00        9.929254e+01        2.378238e-01        2.378238e-01        2.762503e+01        2.346073e+01        3.755219e-55        5.424588e-01        2.762499e+01        2.346073e+01        6.761477e-42        5.424435e-01
               1.925               1.000               1.325        3.162278e-03           double_BH                   2        2.822229e+01        2.822229e+01        1.029605e+01        1.141684e+02        2.231310e-01        2.231310e-01        2.822234e+01        2.400777e+01        1.009794e-38        5.333019e-01        2.822229e+01        2.400777e+01        5.514982e-34        5.332863e-01
               1.950               1.000               1.325        3.162278e-03           double_BH                   2        2.884436e+01        2.884436e+01        1.098529e+01        1.308603e+02        2.091044e-01        2.091044e-01        2.884441e+01        2.458778e+01        1.411089e-42        5.245114e-01        2.884436e+01        2.458778e+01        4.202916e-46        5.244958e-01
               1.975               1.000               1.325        3.162278e-03           double_BH                   2        2.945128e+01        2.945128e+01        1.174100e+01        1.509332e+02        1.962671e-01        1.962671e-01        2.945132e+01        2.514979e+01        1.026846e-97        5.167503e-01        2.945128e+01        2.514979e+01        4.271864e-33        5.167345e-01
               2.000               1.000               1.325        3.162278e-03           double_BH                   2        3.006746e+01        3.006746e+01        1.254865e+01        1.741174e+02        1.842984e-01        1.842984e-01        3.006751e+01        2.570994e+01        3.315735e-50        5.094080e-01        3.006746e+01        2.570994e+01        1.073504e-41        5.093921e-01
               2.025               1.000               1.325        3.162278e-03           double_BH                   2        3.067282e+01        3.067282e+01        1.343255e+01        2.019504e+02        1.726037e-01        1.726037e-01        3.067287e+01        2.626781e+01        1.547517e-41        5.025982e-01        3.067282e+01        2.626781e+01        8.342132e-55        5.025823e-01
               2.050               1.000               1.325        3.162278e-03           double_BH                   2        3.127209e+01        3.127209e+01        1.437859e+01        2.344556e+02        1.623116e-01        1.623116e-01        3.127214e+01        2.682297e+01        1.418503e-52        4.963550e-01        3.127209e+01        2.682297e+01        1.645834e-39        4.963389e-01
               2.075               1.000               1.325        3.162278e-03           double_BH                   2        3.186630e+01        3.186630e+01        1.539452e+01        2.725853e+02        1.528258e-01        1.528258e-01        3.186635e+01        2.737486e+01        5.807128e-49        4.910252e-01        3.186630e+01        2.737486e+01        7.976941e-49        4.910091e-01
               2.100               1.000               1.325        3.162278e-03         L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
               2.125               1.000               1.325        3.162278e-03         L2_overflow                   2                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -
